,CreditScore,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,bin_age,Geography_France,Geography_Germany,Geography_Spain,gender_0,gender_1
106,582,1,88938.62,1,1,1,10054.53,0,4,0,1,0,0,1
107,785,2,99806.85,1,0,1,36976.52,0,3,0,1,0,1,0
108,605,5,150092.8,1,0,0,71862.79,0,5,0,0,1,0,1
109,479,9,92833.89,1,1,0,99449.86,1,6,0,1,0,0,1
110,685,3,90536.81,1,0,1,63082.88,0,5,0,1,0,0,1
111,538,7,108055.1,2,1,0,27231.26,0,3,0,1,0,0,1
112,562,2,100238.35,1,0,0,86797.41,0,3,1,0,0,0,1
113,675,9,106190.55,1,0,1,22994.32,0,5,0,0,1,0,1
114,721,9,154475.54,2,0,1,101300.94,1,6,0,1,0,0,1
115,628,9,132351.29,2,1,1,74169.13,0,4,0,1,0,1,0
116,668,6,167864.4,1,1,0,115638.29,0,4,0,1,0,1,0
117,506,1,0.0,2,1,0,31766.3,0,4,1,0,0,1,0
118,524,8,107818.63,1,1,0,199725.39,1,5,0,1,0,1,0
119,699,4,185173.81,2,1,0,120834.48,0,5,0,1,0,0,1
120,828,8,129433.34,2,0,0,38131.77,0,7,1,0,0,0,1
121,674,6,120193.42,1,0,0,100130.95,0,3,0,0,1,0,1
122,656,6,0.0,2,1,0,141069.88,0,6,1,0,0,1,0
123,684,10,126384.42,1,1,1,198129.36,0,8,0,1,0,1,0
124,625,3,0.0,1,0,0,183646.41,0,9,1,0,0,1,0
125,432,9,152603.45,1,1,0,110265.24,1,6,1,0,0,0,1
126,549,1,0.0,1,0,1,8636.05,1,2,1,0,0,1,0
127,625,0,148507.24,1,1,0,46824.08,1,4,0,1,0,0,1
128,828,7,0.0,2,1,0,171378.77,0,4,1,0,0,1,0
129,770,9,101827.07,1,1,0,167256.35,0,5,1,0,0,0,1
130,758,3,0.0,2,1,1,124226.16,0,2,1,0,0,1,0
131,795,9,130862.43,1,1,1,114935.21,0,5,0,1,0,1,0
132,687,9,122570.87,1,1,1,35608.88,0,7,1,0,0,0,1
133,686,1,0.0,2,0,1,16459.37,0,4,1,0,0,0,1
134,789,7,124828.46,2,1,1,124411.08,0,5,0,1,0,0,1
135,589,5,144895.05,2,1,1,34941.23,0,7,0,1,0,1,0
136,461,5,63663.93,1,0,1,167784.28,0,4,0,1,0,1,0
137,637,2,133463.1,1,0,1,93165.34,0,6,1,0,0,0,1
138,584,2,213146.2,1,1,0,75161.25,1,4,0,0,1,1,0
139,579,1,129490.36,2,0,1,8590.83,1,6,0,0,1,1,0
140,756,10,137452.09,1,1,0,189543.9,0,8,0,1,0,0,1
141,663,7,0.0,2,1,1,180427.24,0,4,1,0,0,0,1
142,682,5,125851.93,1,1,1,193318.33,0,2,1,0,0,1,0
143,793,2,0.0,1,1,0,159123.82,1,3,0,0,1,0,1
144,691,5,40915.55,1,1,0,126213.84,1,5,1,0,0,1,0
145,485,5,113157.22,1,1,1,54141.5,0,6,0,0,1,1,0
146,635,8,138296.94,2,1,0,141075.51,0,4,0,0,1,1,0
147,650,5,106967.18,1,0,0,24495.03,0,4,1,0,0,0,1
148,735,9,120681.63,1,1,0,74836.34,0,7,1,0,0,0,1
149,416,0,0.0,2,0,1,878.87,0,6,1,0,0,0,1
150,754,7,0.0,2,1,0,89520.75,0,5,0,0,1,1,0
151,535,9,0.0,1,1,0,149892.79,1,6,1,0,0,1,0
152,716,8,0.0,2,1,0,180800.42,0,9,0,0,1,0,1
153,539,2,127609.59,1,1,0,98646.22,0,4,1,0,0,0,1
154,614,6,0.0,2,1,1,109041.53,0,3,1,0,0,1,0
155,706,7,0.0,1,1,0,17941.16,1,4,0,0,1,0,1
156,758,7,0.0,2,0,0,82996.47,0,2,1,0,0,1,0
157,586,2,0.0,2,1,1,92067.35,0,3,0,0,1,1,0
159,631,4,123246.7,1,0,0,112687.57,0,5,0,1,0,1,0
160,717,6,101060.25,1,0,1,84699.56,0,3,0,0,1,1,0
161,684,2,0.0,2,1,0,83473.82,0,4,1,0,0,0,1
162,800,7,108007.36,1,0,0,47125.11,0,2,1,0,0,1,0
163,721,2,0.0,2,1,1,106977.8,0,6,0,0,1,1,0
164,683,0,133702.89,1,1,0,55582.54,1,5,0,0,1,0,1
165,660,9,125189.75,2,1,1,139874.43,0,2,0,1,0,0,1
166,704,7,113034.22,1,1,0,162503.48,1,3,0,1,0,1,0
167,615,9,109013.23,1,1,0,196499.96,0,3,0,0,1,1,0
168,667,2,0.0,2,1,0,40721.24,1,6,0,0,1,1,0
169,682,9,57929.81,2,0,0,53134.3,0,3,0,1,0,0,1
170,484,4,130114.39,1,1,0,164017.89,0,5,1,0,0,1,0
171,628,5,95826.49,2,1,0,155996.96,0,4,0,1,0,0,1
172,480,10,129608.57,1,1,0,5472.7,1,3,0,1,0,0,1
173,578,4,169462.09,1,1,0,112187.11,0,5,1,0,0,0,1
174,512,5,0.0,2,1,1,146457.83,0,5,1,0,0,0,1
175,484,7,133868.21,1,1,1,27286.1,0,8,0,0,1,1,0
176,510,0,0.0,2,1,1,130553.47,0,6,1,0,0,1,0
177,606,5,190479.48,2,0,0,179351.89,0,6,0,1,0,0,1
178,597,8,101993.12,1,0,1,94774.12,0,6,0,0,1,1,0
179,754,3,161608.81,1,1,0,8080.85,1,7,0,1,0,1,0
180,850,2,122311.21,1,1,1,19482.5,0,4,0,0,1,1,0
182,778,1,162150.42,2,1,0,174531.27,0,5,0,1,0,1,0
183,636,2,0.0,2,1,1,55470.78,0,3,1,0,0,0,1
184,804,4,0.0,1,1,1,8546.87,1,4,1,0,0,1,0
185,514,8,0.0,2,1,0,95857.18,0,6,1,0,0,0,1
186,730,1,99010.67,1,1,0,194945.8,0,5,1,0,0,1,0
187,525,0,0.0,1,0,1,131521.72,0,5,0,0,1,1,0
188,616,5,0.0,2,0,1,196108.51,0,4,0,0,1,0,1
189,687,7,111388.18,2,1,0,148564.76,0,3,0,1,0,1,0
190,715,8,56214.85,2,0,0,92982.61,1,4,1,0,0,1,0
191,512,3,84327.77,2,1,0,17675.36,0,4,1,0,0,1,0
192,479,1,0.0,2,0,0,114996.43,0,5,1,0,0,0,1
193,601,8,93012.89,1,1,0,86957.42,0,9,1,0,0,0,1
194,580,9,61710.44,2,1,0,128077.8,0,4,0,0,1,0,1
195,807,3,174790.15,1,1,1,600.36,0,3,1,0,0,0,1
196,616,6,0.0,2,1,1,43001.46,0,6,0,0,1,1,0
197,721,3,107720.64,1,1,1,158591.12,0,7,0,1,0,0,1
198,501,10,0.0,2,1,1,47847.19,0,5,1,0,0,0,1
199,521,6,96423.84,1,1,0,10488.44,0,4,1,0,0,0,1
200,850,2,141040.01,1,1,1,5978.2,0,5,0,0,1,0,1
201,759,4,105420.18,1,0,1,121409.06,0,6,1,0,0,0,1
202,516,5,0.0,1,0,1,146145.93,1,4,0,0,1,0,1
203,711,2,129022.06,2,1,1,14374.86,1,6,1,0,0,1,0
204,512,3,176666.62,1,1,0,94670.77,0,6,0,0,1,0,1
205,550,3,0.0,1,1,1,179670.31,0,4,1,0,0,0,1
206,608,3,89763.84,1,0,0,199304.74,1,4,0,0,1,1,0
207,618,5,134954.53,1,1,1,151954.39,0,6,1,0,0,0,1
208,643,5,0.0,1,1,0,142513.5,1,4,1,0,0,0,1
209,671,2,106376.85,1,0,1,158264.62,0,3,1,0,0,0,1
210,689,2,161814.64,2,1,0,169381.9,0,7,0,1,0,0,1
211,603,8,0.0,2,1,1,169915.02,0,7,1,0,0,0,1
212,620,9,0.0,2,0,0,88852.47,0,4,1,0,0,1,0
213,676,1,63095.01,1,1,1,40645.81,0,6,1,0,0,1,0
214,572,4,118287.01,2,0,0,60427.3,0,8,0,1,0,0,1
215,668,7,106854.21,1,0,1,157959.02,1,4,0,1,0,0,1
216,695,7,49512.55,1,1,0,133007.34,0,3,1,0,0,0,1
217,730,9,0.0,2,0,0,176576.62,0,6,0,0,1,1,0
218,807,1,105799.32,2,1,0,34888.04,1,4,1,0,0,0,1
219,592,8,0.0,1,1,1,28737.71,1,6,1,0,0,0,1
220,726,9,114722.05,2,1,1,98178.57,0,5,1,0,0,1,0
221,514,7,0.0,1,0,1,125010.24,0,3,0,0,1,0,1
222,567,2,0.0,2,1,1,167984.61,0,5,1,0,0,0,1
223,850,10,0.0,1,1,0,4861.72,1,7,1,0,0,0,1
224,671,6,99564.22,1,1,1,108872.45,1,3,0,1,0,0,1
225,670,4,170557.91,2,1,0,198252.88,0,5,1,0,0,0,1
226,694,9,0.0,2,1,1,26960.31,0,5,1,0,0,1,0
227,547,6,74596.15,3,1,1,85746.52,1,1,0,1,0,1,0
228,751,2,96888.39,1,1,0,77206.25,1,6,0,1,0,0,1
229,594,3,130830.22,1,1,0,61048.53,0,3,0,1,0,1,0
231,610,0,0.0,2,1,0,62232.6,0,7,1,0,0,0,1
232,512,1,0.0,2,0,1,156105.03,0,3,1,0,0,1,0
233,767,3,119714.25,2,0,1,150135.38,0,5,0,1,0,0,1
235,763,6,100160.75,1,1,0,33462.94,1,5,0,1,0,0,1
236,712,2,0.0,1,1,1,144375.0,0,4,1,0,0,1,0
237,539,3,116220.5,3,1,0,55803.96,1,5,0,1,0,1,0
238,668,2,0.0,3,1,0,89048.46,1,3,1,0,0,1,0
239,703,2,81173.83,2,0,1,162812.16,0,3,1,0,0,0,1
240,662,4,0.0,2,1,0,136259.65,0,2,0,0,1,0,1
241,725,5,116803.8,1,1,0,124052.97,0,8,0,1,0,1,0
242,703,8,105961.68,2,0,1,74158.8,0,5,1,0,0,0,1
244,523,7,0.0,2,1,0,62030.06,0,5,0,0,1,0,1
245,635,10,123497.58,1,1,0,131953.23,1,3,1,0,0,1,0
246,772,7,152400.51,2,1,0,79414.0,0,6,0,1,0,0,1
247,545,1,0.0,2,1,1,199638.56,0,4,1,0,0,1,0
248,634,8,103097.85,1,1,1,157577.29,0,4,0,1,0,0,1
249,739,8,126418.14,1,1,0,134420.75,1,3,0,1,0,0,1
250,771,5,77846.9,1,0,0,99805.99,0,5,0,1,0,1,0
251,587,1,0.0,2,1,1,97932.68,0,6,0,0,1,1,0
253,544,2,79731.91,1,1,1,57558.95,0,4,0,1,0,0,1
254,696,8,0.0,1,0,0,176713.47,0,3,0,0,1,0,1
255,766,0,0.0,2,0,1,34283.23,0,4,0,0,1,0,1
256,727,10,0.0,2,1,1,198637.34,0,5,1,0,0,0,1
257,671,6,37266.67,2,0,0,156917.12,0,4,0,1,0,1,0
258,693,6,127992.25,1,1,1,50457.2,0,5,1,0,0,1,0
259,850,3,54901.01,1,1,1,140075.55,0,5,0,1,0,0,1
260,732,9,108748.08,2,1,1,65323.11,0,4,0,1,0,0,1
261,726,6,99906.19,1,1,0,64323.24,0,6,0,0,1,1,0
262,557,6,184686.41,2,1,0,14956.44,0,4,1,0,0,1,0
263,682,0,110654.02,1,0,1,111879.21,0,4,1,0,0,1,0
264,738,9,79019.8,1,1,1,18606.23,0,3,0,0,1,0,1
265,531,9,99240.51,1,1,0,123137.01,0,3,0,0,1,1,0
266,498,2,0.0,2,1,1,148528.24,0,5,1,0,0,0,1
267,651,7,0.0,2,1,0,13898.31,0,8,1,0,0,0,1
268,549,7,0.0,1,0,0,81259.25,1,4,0,0,1,1,0
269,791,7,52436.2,1,1,0,161051.75,0,7,0,1,0,1,0
270,650,9,0.0,2,0,1,191599.67,0,5,0,0,1,0,1
271,733,3,100337.96,3,1,0,48559.19,1,3,0,1,0,0,1
272,811,1,149297.19,2,1,1,186339.74,0,4,0,1,0,1,0
273,707,8,0.0,2,1,0,33159.37,0,6,1,0,0,0,1
274,712,4,145605.44,1,0,1,93883.53,0,2,0,1,0,0,1
275,706,7,0.0,2,1,1,110899.3,0,5,0,0,1,1,0
277,777,10,0.0,2,1,0,189992.97,0,4,1,0,0,1,0
278,646,6,84026.86,1,0,1,164255.69,0,3,1,0,0,0,1
279,714,1,0.0,1,1,0,152167.79,1,4,1,0,0,0,1
280,782,8,0.0,2,1,1,33949.67,0,6,1,0,0,0,1
281,775,10,0.0,2,1,1,68143.93,0,6,0,0,1,0,1
282,479,4,138718.92,1,1,1,47251.79,1,3,0,1,0,0,1
283,807,7,118274.71,1,1,1,25885.72,0,4,1,0,0,0,1
284,799,8,174185.98,2,0,1,192633.85,0,5,1,0,0,1,0
285,675,7,113208.86,2,1,0,34577.36,0,2,1,0,0,0,1
286,602,5,103907.28,1,1,0,161229.84,0,4,0,0,1,0,1
287,475,8,119023.28,1,1,0,100816.29,0,6,1,0,0,1,0
288,744,5,166297.89,1,1,1,181694.44,0,9,0,0,1,1,0
289,588,10,0.0,2,1,0,79078.91,0,4,0,0,1,0,1
290,703,9,63227.0,1,0,1,137316.32,0,4,0,1,0,0,1
291,747,5,94521.17,2,1,0,194926.86,0,5,0,0,1,1,0
292,583,7,0.0,2,1,0,51285.49,0,4,1,0,0,0,1
293,750,9,112822.26,1,0,0,150401.53,1,4,0,0,1,1,0
294,681,3,0.0,2,1,1,112491.96,0,4,1,0,0,0,1
295,773,2,135903.33,1,1,0,73656.38,0,4,1,0,0,0,1
296,714,4,125169.26,1,1,1,106636.89,0,6,1,0,0,1,0
297,687,7,0.0,3,1,0,155853.52,1,4,0,0,1,1,0
298,511,0,149117.31,1,1,1,162599.51,0,7,1,0,0,0,1
299,627,5,0.0,2,1,1,103737.82,0,4,1,0,0,0,1
300,694,10,0.0,2,1,0,160990.27,0,3,1,0,0,1,0
301,616,6,132311.71,1,0,0,15462.84,0,5,0,0,1,1,0
302,687,8,0.0,2,1,0,10334.05,0,9,1,0,0,0,1
303,712,6,0.0,2,1,1,190686.16,0,5,1,0,0,1,0
304,553,4,118082.89,1,0,0,94440.45,0,5,1,0,0,0,1
305,667,1,119266.69,1,1,1,28257.63,0,7,1,0,0,0,1
306,731,2,0.0,1,1,1,170034.95,1,6,1,0,0,0,1
307,629,7,156847.29,2,1,0,31824.29,0,2,0,1,0,0,1
308,614,4,137104.47,1,1,0,127166.49,1,2,1,0,0,0,1
309,438,8,78398.69,1,1,0,44937.01,0,9,0,1,0,0,1
311,729,6,63669.42,1,1,0,145111.37,0,5,0,1,0,0,1
312,642,3,0.0,2,0,0,171463.83,0,4,1,0,0,0,1
313,806,0,135296.33,1,1,0,182822.5,0,3,0,1,0,1,0
314,744,2,153804.44,1,1,1,87213.33,0,4,0,0,1,0,1
315,474,3,0.0,2,0,0,57175.32,0,4,0,0,1,0,1
316,559,2,147069.78,1,1,0,120540.83,1,7,1,0,0,0,1
317,706,9,0.0,2,1,1,28714.34,0,4,0,0,1,0,1
318,628,3,0.0,1,1,0,85426.28,0,3,0,0,1,1,0
319,429,4,95741.75,1,1,0,46170.75,0,7,1,0,0,0,1
320,525,2,145965.33,1,1,1,64448.36,0,5,0,0,1,1,0
321,680,8,141441.75,1,1,1,16278.97,0,6,1,0,0,1,0
322,749,1,139290.41,1,1,0,182855.42,1,3,1,0,0,0,1
323,763,4,0.0,2,0,0,50404.72,0,5,1,0,0,1,0
324,734,3,0.0,2,1,0,107640.25,0,3,1,0,0,0,1
325,716,4,144428.87,1,1,0,134132.65,0,4,1,0,0,0,1
326,594,2,0.0,2,1,0,103480.69,0,4,1,0,0,0,1
327,644,9,95441.27,1,1,0,108761.05,1,5,1,0,0,1,0
328,671,1,144848.74,1,1,1,179012.3,0,5,0,1,0,0,1
329,664,7,116244.14,2,1,1,95145.14,0,5,0,1,0,0,1
330,656,7,0.0,2,0,1,72143.44,0,4,1,0,0,0,1
331,667,1,146502.07,1,1,0,19162.89,0,7,0,0,1,1,0
332,663,2,117028.6,2,0,1,144680.18,0,2,0,1,0,0,1
333,584,8,112013.81,1,1,0,177772.03,1,2,0,1,0,1,0
334,626,6,108269.37,1,1,0,5597.94,0,6,0,0,1,1,0
335,485,7,182123.79,1,1,0,116828.51,1,4,1,0,0,0,1
336,659,3,150923.74,2,0,1,174652.51,0,9,0,1,0,1,0
337,649,2,0.0,2,1,0,2010.98,0,4,1,0,0,0,1
338,805,5,165272.13,1,1,0,14109.85,1,5,0,0,1,1,0
339,716,10,115301.31,1,1,0,43527.4,1,4,0,1,0,1,0
340,642,6,129502.49,2,0,1,86099.23,1,5,0,1,0,1,0
341,659,4,118342.26,1,0,0,161574.19,0,4,1,0,0,0,1
342,545,5,0.0,2,1,1,38970.14,0,2,0,0,1,1,0
343,543,8,0.0,2,0,0,127587.22,0,6,1,0,0,0,1
344,718,7,0.0,2,1,0,30380.12,0,3,1,0,0,1,0
345,840,7,0.0,2,1,0,90908.95,0,9,1,0,0,1,0
346,630,9,106937.05,2,1,0,138275.01,0,4,0,1,0,1,0
347,643,3,170331.37,1,1,1,32171.79,0,6,0,1,0,0,1
348,654,1,114510.85,1,1,1,126143.23,0,9,0,1,0,1,0
349,582,5,0.0,2,1,1,129892.93,0,3,1,0,0,0,1
350,659,3,107594.11,2,1,1,102416.84,0,6,0,0,1,0,1
351,762,2,81273.13,1,1,1,18719.67,0,7,0,0,1,0,1
352,568,7,169399.6,1,1,0,61936.22,0,3,0,0,1,1,0
353,670,6,0.0,2,1,1,78358.94,0,4,0,0,1,0,1
354,613,1,187841.99,2,1,1,147224.27,0,6,1,0,0,1,0
355,539,0,0.0,2,1,0,160979.66,0,4,1,0,0,0,1
356,850,8,126776.3,2,1,1,132298.49,0,4,0,0,1,1,0
357,522,9,126436.29,1,1,0,174248.52,1,3,0,0,1,0,1
358,737,1,101960.74,1,1,1,123547.28,0,6,1,0,0,0,1
359,520,3,0.0,2,0,1,32790.02,0,4,1,0,0,0,1
360,706,3,0.0,2,0,1,181543.67,0,4,0,0,1,0,1
361,643,2,150842.93,1,0,1,2319.96,1,4,0,1,0,1,0
362,648,9,102535.57,1,1,1,189543.19,0,5,1,0,0,1,0
363,443,9,99027.61,2,1,0,10940.4,0,6,0,1,0,1,0
365,628,3,0.0,1,1,1,188193.25,0,3,0,0,1,1,0
366,540,9,87271.41,2,1,0,172572.64,0,5,0,1,0,1,0
367,460,8,102742.91,2,1,1,189339.6,0,7,0,1,0,1,0
368,636,2,40105.51,2,0,1,53512.16,0,5,0,1,0,0,1
369,593,2,152265.43,1,1,0,34004.44,0,3,1,0,0,1,0
370,801,4,141947.67,1,1,1,10598.29,0,3,0,0,1,0,1
372,611,0,107884.81,2,1,1,183487.98,0,7,0,1,0,0,1
373,802,1,125013.72,1,1,1,187658.09,0,6,0,1,0,0,1
374,717,7,58469.37,2,1,1,172459.39,0,2,0,1,0,0,1
375,769,8,0.0,1,0,1,21016.0,0,3,1,0,0,1,0
376,745,10,117231.63,3,1,1,122381.02,1,5,0,1,0,0,1
377,572,4,152390.26,1,1,0,128123.66,0,7,0,0,1,0,1
378,629,2,34013.63,1,1,0,19570.63,0,5,0,0,1,1,0
379,687,2,0.0,3,0,0,188150.6,1,2,0,0,1,1,0
380,483,9,0.0,2,1,1,111020.24,0,5,1,0,0,1,0
381,690,7,101583.11,2,1,0,123775.15,0,4,1,0,0,0,1
382,492,10,77168.87,2,0,1,146700.22,0,4,0,1,0,1,0
383,709,8,124695.72,2,1,0,145251.35,0,5,0,1,0,0,1
384,705,3,105934.96,1,1,0,82463.69,0,8,0,1,0,0,1
386,611,6,0.0,2,1,0,45886.33,0,8,0,0,1,0,1
388,709,2,0.0,2,0,1,162922.65,0,2,0,0,1,1,0
389,544,10,161525.96,2,1,0,9262.77,0,5,1,0,0,1,0
390,712,7,147199.07,1,1,1,84932.4,0,7,0,1,0,1,0
391,752,3,183102.29,1,1,1,71557.12,0,5,0,1,0,0,1
392,648,9,127209.0,2,1,0,77405.95,1,5,0,0,1,0,1
393,556,8,0.0,2,0,0,417.41,1,6,0,0,1,0,1
394,594,0,97378.54,1,1,1,71405.17,0,2,0,0,1,1,0
395,645,2,136925.09,2,0,1,153400.24,0,5,0,1,0,1,0
396,557,3,54503.55,1,1,1,371.05,0,4,1,0,0,0,1
397,547,8,155726.85,1,1,0,67789.99,0,6,0,1,0,0,1
398,701,9,0.0,2,0,1,145894.9,0,4,1,0,0,1,0
400,605,1,63349.75,1,1,0,108887.44,0,10,1,0,0,0,1
401,593,4,129499.42,1,1,1,154071.27,0,5,0,1,0,1,0
402,751,8,0.0,2,0,1,179291.85,0,7,0,0,1,0,1
