,CreditScore,Geography,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,bin_age,gender_0,gender_1
62,684,Spain,56,8,78707.16,1,1,1,99398.36,0,4,0,1
63,603,Germany,26,4,109166.37,1,1,1,92840.67,0,1,0,1
64,751,Germany,36,6,169831.46,2,1,1,27758.36,0,2,1,0
65,581,Germany,34,1,101633.04,1,1,0,110431.51,0,2,1,0
66,735,Germany,43,10,123180.01,2,1,1,196673.28,0,3,0,1
67,661,Germany,35,5,150725.53,2,0,1,113656.85,0,2,1,0
68,675,France,21,8,98373.26,1,1,0,18203.0,0,1,1,0
69,738,Germany,58,2,133745.44,4,1,0,28373.86,1,4,0,1
70,813,France,29,6,0.0,1,1,0,33953.87,0,1,0,1
71,657,Spain,37,0,163607.18,1,0,1,44203.55,0,2,1,0
72,604,Germany,25,5,157780.84,2,1,1,58426.81,0,1,1,0
73,519,France,36,9,0.0,2,0,1,145562.4,0,2,0,1
74,735,France,21,1,178718.19,2,1,0,22388.0,0,1,1,0
75,664,France,55,8,0.0,2,1,1,139161.64,0,4,0,1
76,678,France,32,9,0.0,1,1,1,148210.64,0,2,1,0
77,757,Spain,33,5,77253.22,1,0,1,194239.63,0,2,0,1
78,416,Germany,41,10,122189.66,2,1,0,98301.61,0,3,1,0
79,665,France,34,1,96645.54,2,0,0,171413.66,0,2,1,0
80,777,France,32,2,0.0,1,1,0,136458.19,1,2,1,0
81,543,France,36,3,0.0,2,0,0,26019.59,0,2,1,0
82,506,France,34,4,90307.62,1,1,1,159235.29,0,2,1,0
83,493,France,46,4,0.0,2,1,0,1907.66,0,3,1,0
84,750,Spain,22,3,121681.82,1,1,0,128643.35,1,1,0,1
85,729,France,30,9,0.0,2,1,0,151869.35,0,1,0,1
86,646,France,46,4,0.0,3,1,0,93251.42,1,3,1,0
87,635,Germany,28,3,81623.67,2,1,1,156791.36,0,1,1,0
88,647,Spain,44,5,0.0,3,1,1,174205.22,1,3,1,0
89,808,France,45,7,118626.55,2,1,0,147132.46,0,3,0,1
90,524,France,36,10,0.0,2,1,0,109614.57,0,2,1,0
91,769,France,29,8,0.0,2,1,1,172290.61,0,1,0,1
92,730,Spain,42,4,0.0,2,0,1,85982.47,0,3,0,1
93,515,Spain,35,10,176273.95,1,0,1,121277.78,0,2,0,1
94,773,Spain,41,9,102827.44,1,0,1,64595.25,0,3,0,1
95,814,Germany,29,8,97086.4,2,1,1,197276.13,0,1,0,1
96,710,Spain,22,8,0.0,2,0,0,99645.04,0,1,0,1
97,413,France,34,9,0.0,2,0,0,6534.18,0,2,0,1
98,665,France,40,6,0.0,1,1,1,161848.03,0,2,1,0
99,623,France,44,6,0.0,2,0,0,167162.43,0,3,1,0
100,738,France,31,9,82674.15,1,1,0,41970.72,0,2,0,1
101,528,Spain,36,7,0.0,2,1,0,60536.56,0,2,0,1
102,622,Spain,46,4,107073.27,2,1,1,30984.59,1,3,1,0
103,582,Germany,32,1,88938.62,1,1,1,10054.53,0,2,0,1
104,785,Germany,36,2,99806.85,1,0,1,36976.52,0,2,1,0
105,605,Spain,33,5,150092.8,1,0,0,71862.79,0,2,0,1
106,479,Germany,35,9,92833.89,1,1,0,99449.86,1,2,0,1
107,685,Germany,30,3,90536.81,1,0,1,63082.88,0,1,0,1
108,538,Germany,39,7,108055.1,2,1,0,27231.26,0,2,0,1
109,562,France,42,2,100238.35,1,0,0,86797.41,0,3,0,1
110,675,Spain,36,9,106190.55,1,0,1,22994.32,0,2,0,1
111,721,Germany,28,9,154475.54,2,0,1,101300.94,1,1,0,1
112,628,Germany,30,9,132351.29,2,1,1,74169.13,0,1,1,0
113,668,Germany,37,6,167864.4,1,1,0,115638.29,0,2,1,0
114,506,France,41,1,0.0,2,1,0,31766.3,0,3,1,0
115,524,Germany,31,8,107818.63,1,1,0,199725.39,1,2,1,0
116,699,Germany,34,4,185173.81,2,1,0,120834.48,0,2,0,1
117,828,France,34,8,129433.34,2,0,0,38131.77,0,2,0,1
118,674,Spain,39,6,120193.42,1,0,0,100130.95,0,2,0,1
119,656,France,39,6,0.0,2,1,0,141069.88,0,2,1,0
120,684,Germany,48,10,126384.42,1,1,1,198129.36,0,3,1,0
121,625,France,28,3,0.0,1,0,0,183646.41,0,1,1,0
122,432,France,42,9,152603.45,1,1,0,110265.24,1,3,0,1
123,549,France,52,1,0.0,1,0,1,8636.05,1,4,1,0
124,625,Germany,56,0,148507.24,1,1,0,46824.08,1,4,0,1
125,828,France,41,7,0.0,2,1,0,171378.77,0,3,1,0
126,770,France,24,9,101827.07,1,1,0,167256.35,0,1,0,1
127,758,France,34,3,0.0,2,1,1,124226.16,0,2,1,0
128,795,Germany,33,9,130862.43,1,1,1,114935.21,0,2,1,0
129,687,France,38,9,122570.87,1,1,1,35608.88,0,2,0,1
130,686,France,25,1,0.0,2,0,1,16459.37,0,1,0,1
131,789,Germany,39,7,124828.46,2,1,1,124411.08,0,2,0,1
132,589,Germany,50,5,144895.05,2,1,1,34941.23,0,3,1,0
133,461,Germany,34,5,63663.93,1,0,1,167784.28,0,2,1,0
134,637,France,40,2,133463.1,1,0,1,93165.34,0,2,0,1
135,584,Spain,48,2,213146.2,1,1,0,75161.25,1,3,1,0
136,579,Spain,35,1,129490.36,2,0,1,8590.83,1,2,1,0
137,756,Germany,44,10,137452.09,1,1,0,189543.9,0,3,0,1
138,663,France,34,7,0.0,2,1,1,180427.24,0,2,0,1
139,682,France,43,5,125851.93,1,1,1,193318.33,0,3,1,0
140,793,Spain,52,2,0.0,1,1,0,159123.82,1,4,0,1
141,691,France,31,5,40915.55,1,1,0,126213.84,1,2,1,0
142,485,Spain,21,5,113157.22,1,1,1,54141.5,0,1,1,0
143,635,Spain,29,8,138296.94,2,1,0,141075.51,0,1,1,0
144,650,France,37,5,106967.18,1,0,0,24495.03,0,2,0,1
145,735,France,44,9,120681.63,1,1,0,74836.34,0,3,0,1
146,416,France,32,0,0.0,2,0,1,878.87,0,2,0,1
147,754,Spain,32,7,0.0,2,1,0,89520.75,0,2,1,0
148,535,France,48,9,0.0,1,1,0,149892.79,1,3,1,0
149,716,Spain,42,8,0.0,2,1,0,180800.42,0,3,0,1
150,539,France,37,2,127609.59,1,1,0,98646.22,0,2,0,1
151,614,France,43,6,0.0,2,1,1,109041.53,0,3,1,0
152,706,Spain,57,7,0.0,1,1,0,17941.16,1,4,0,1
153,758,France,33,7,0.0,2,0,0,82996.47,0,2,1,0
154,586,Spain,28,2,0.0,2,1,1,92067.35,0,1,1,0
155,631,Germany,33,4,123246.7,1,0,0,112687.57,0,2,1,0
156,717,Spain,22,6,101060.25,1,0,1,84699.56,0,1,1,0
157,684,France,30,2,0.0,2,1,0,83473.82,0,1,0,1
158,800,France,49,7,108007.36,1,0,0,47125.11,0,3,1,0
159,721,Spain,36,2,0.0,2,1,1,106977.8,0,2,1,0
160,683,Spain,29,0,133702.89,1,1,0,55582.54,1,1,0,1
161,660,Germany,31,9,125189.75,2,1,1,139874.43,0,2,0,1
162,704,Germany,24,7,113034.22,1,1,0,162503.48,1,1,1,0
163,615,Spain,41,9,109013.23,1,1,0,196499.96,0,3,1,0
164,667,Spain,39,2,0.0,2,1,0,40721.24,1,2,1,0
165,682,Germany,24,9,57929.81,2,0,0,53134.3,0,1,0,1
166,484,France,29,4,130114.39,1,1,0,164017.89,0,1,1,0
167,628,Germany,27,5,95826.49,2,1,0,155996.96,0,1,0,1
168,480,Germany,44,10,129608.57,1,1,0,5472.7,1,3,0,1
169,578,France,30,4,169462.09,1,1,0,112187.11,0,1,0,1
170,512,France,40,5,0.0,2,1,1,146457.83,0,2,0,1
171,484,Spain,35,7,133868.21,1,1,1,27286.1,0,2,1,0
172,510,France,30,0,0.0,2,1,1,130553.47,0,1,1,0
173,606,Germany,36,5,190479.48,2,0,0,179351.89,0,2,0,1
174,597,Spain,40,8,101993.12,1,0,1,94774.12,0,2,1,0
175,754,Germany,55,3,161608.81,1,1,0,8080.85,1,4,1,0
176,850,Spain,45,2,122311.21,1,1,1,19482.5,0,3,1,0
177,778,Germany,45,1,162150.42,2,1,0,174531.27,0,3,1,0
178,636,France,42,2,0.0,2,1,1,55470.78,0,3,0,1
179,804,France,50,4,0.0,1,1,1,8546.87,1,3,1,0
180,514,France,32,8,0.0,2,1,0,95857.18,0,2,0,1
181,730,France,39,1,99010.67,1,1,0,194945.8,0,2,1,0
182,525,Spain,37,0,0.0,1,0,1,131521.72,0,2,1,0
183,616,Spain,30,5,0.0,2,0,1,196108.51,0,1,0,1
184,687,Germany,34,7,111388.18,2,1,0,148564.76,0,2,1,0
185,715,France,41,8,56214.85,2,0,0,92982.61,1,3,1,0
186,512,France,36,3,84327.77,2,1,0,17675.36,0,2,1,0
187,479,France,40,1,0.0,2,0,0,114996.43,0,2,0,1
188,601,France,32,8,93012.89,1,1,0,86957.42,0,2,0,1
189,580,Spain,29,9,61710.44,2,1,0,128077.8,0,1,0,1
190,807,France,35,3,174790.15,1,1,1,600.36,0,2,0,1
191,616,Spain,32,6,0.0,2,1,1,43001.46,0,2,1,0
192,721,Germany,37,3,107720.64,1,1,1,158591.12,0,2,0,1
193,501,France,57,10,0.0,2,1,1,47847.19,0,4,0,1
194,521,France,35,6,96423.84,1,1,0,10488.44,0,2,0,1
195,850,Spain,30,2,141040.01,1,1,1,5978.2,0,1,0,1
196,759,France,42,4,105420.18,1,0,1,121409.06,0,3,0,1
197,516,Spain,50,5,0.0,1,0,1,146145.93,1,3,0,1
198,711,France,38,2,129022.06,2,1,1,14374.86,1,2,1,0
199,512,Spain,33,3,176666.62,1,1,0,94670.77,0,2,0,1
200,550,France,37,3,0.0,1,1,1,179670.31,0,2,0,1
201,608,Spain,41,3,89763.84,1,0,0,199304.74,1,3,1,0
202,618,France,34,5,134954.53,1,1,1,151954.39,0,2,0,1
203,643,France,45,5,0.0,1,1,0,142513.5,1,3,0,1
204,671,France,45,2,106376.85,1,0,1,158264.62,0,3,0,1
205,689,Germany,33,2,161814.64,2,1,0,169381.9,0,2,0,1
206,603,France,31,8,0.0,2,1,1,169915.02,0,2,0,1
207,620,France,41,9,0.0,2,0,0,88852.47,0,3,1,0
208,676,France,34,1,63095.01,1,1,1,40645.81,0,2,1,0
209,572,Germany,26,4,118287.01,2,0,0,60427.3,0,1,0,1
210,668,Germany,47,7,106854.21,1,0,1,157959.02,1,3,0,1
211,695,France,46,7,49512.55,1,1,0,133007.34,0,3,0,1
212,730,Spain,33,9,0.0,2,0,0,176576.62,0,2,1,0
213,807,France,43,1,105799.32,2,1,0,34888.04,1,3,0,1
214,592,France,54,8,0.0,1,1,1,28737.71,1,4,0,1
215,726,France,31,9,114722.05,2,1,1,98178.57,0,2,1,0
216,514,Spain,30,7,0.0,1,0,1,125010.24,0,1,0,1
217,567,France,42,2,0.0,2,1,1,167984.61,0,3,0,1
218,850,France,33,10,0.0,1,1,0,4861.72,1,2,0,1
219,671,Germany,45,6,99564.22,1,1,1,108872.45,1,3,0,1
220,670,France,37,4,170557.91,2,1,0,198252.88,0,2,0,1
221,694,France,30,9,0.0,2,1,1,26960.31,0,1,1,0
222,547,Germany,39,6,74596.15,3,1,1,85746.52,1,2,1,0
223,751,Germany,50,2,96888.39,1,1,0,77206.25,1,3,0,1
224,594,Germany,29,3,130830.22,1,1,0,61048.53,0,1,1,0
225,610,France,40,0,0.0,2,1,0,62232.6,0,2,0,1
226,512,France,37,1,0.0,2,0,1,156105.03,0,2,1,0
227,767,Germany,20,3,119714.25,2,0,1,150135.38,0,0,0,1
228,763,Germany,42,6,100160.75,1,1,0,33462.94,1,3,0,1
229,712,France,29,2,0.0,1,1,1,144375.0,0,1,1,0
230,539,Germany,43,3,116220.5,3,1,0,55803.96,1,3,1,0
231,668,France,46,2,0.0,3,1,0,89048.46,1,3,1,0
232,703,France,28,2,81173.83,2,0,1,162812.16,0,1,0,1
233,662,Spain,38,4,0.0,2,1,0,136259.65,0,2,0,1
234,725,Germany,39,5,116803.8,1,1,0,124052.97,0,2,1,0
235,703,France,37,8,105961.68,2,0,1,74158.8,0,2,0,1
236,523,Spain,34,7,0.0,2,1,0,62030.06,0,2,0,1
237,635,France,40,10,123497.58,1,1,0,131953.23,1,2,1,0
238,772,Germany,26,7,152400.51,2,1,0,79414.0,0,1,0,1
239,545,France,26,1,0.0,2,1,1,199638.56,0,1,1,0
240,634,Germany,24,8,103097.85,1,1,1,157577.29,0,1,0,1
241,739,Germany,54,8,126418.14,1,1,0,134420.75,1,4,0,1
242,771,Germany,36,5,77846.9,1,0,0,99805.99,0,2,1,0
243,587,Spain,34,1,0.0,2,1,1,97932.68,0,2,1,0
244,544,Germany,37,2,79731.91,1,1,1,57558.95,0,2,0,1
245,696,Spain,28,8,0.0,1,0,0,176713.47,0,1,0,1
246,766,Spain,41,0,0.0,2,0,1,34283.23,0,3,0,1
247,727,France,34,10,0.0,2,1,1,198637.34,0,2,0,1
248,671,Germany,34,6,37266.67,2,0,0,156917.12,0,2,1,0
249,693,France,30,6,127992.25,1,1,1,50457.2,0,1,1,0
250,850,Germany,38,3,54901.01,1,1,1,140075.55,0,2,0,1
251,732,Germany,42,9,108748.08,2,1,1,65323.11,0,3,0,1
252,726,Spain,48,6,99906.19,1,1,0,64323.24,0,3,1,0
253,557,France,32,6,184686.41,2,1,0,14956.44,0,2,1,0
254,682,France,26,0,110654.02,1,0,1,111879.21,0,1,1,0
255,738,Spain,31,9,79019.8,1,1,1,18606.23,0,2,0,1
256,531,Spain,36,9,99240.51,1,1,0,123137.01,0,2,1,0
257,498,France,34,2,0.0,2,1,1,148528.24,0,2,0,1
258,651,France,36,7,0.0,2,1,0,13898.31,0,2,0,1
259,549,Spain,39,7,0.0,1,0,0,81259.25,1,2,1,0
260,791,Germany,35,7,52436.2,1,1,0,161051.75,0,2,1,0
261,650,Spain,41,9,0.0,2,0,1,191599.67,0,3,0,1
262,733,Germany,34,3,100337.96,3,1,0,48559.19,1,2,0,1
263,811,Germany,34,1,149297.19,2,1,1,186339.74,0,2,1,0
264,707,France,30,8,0.0,2,1,0,33159.37,0,1,0,1
265,712,Germany,28,4,145605.44,1,0,1,93883.53,0,1,0,1
266,706,Spain,37,7,0.0,2,1,1,110899.3,0,2,1,0
267,777,France,53,10,0.0,2,1,0,189992.97,0,4,1,0
268,646,France,35,6,84026.86,1,0,1,164255.69,0,2,0,1
269,714,France,46,1,0.0,1,1,0,152167.79,1,3,0,1
270,782,France,39,8,0.0,2,1,1,33949.67,0,2,0,1
271,775,Spain,29,10,0.0,2,1,1,68143.93,0,1,0,1
272,479,Germany,35,4,138718.92,1,1,1,47251.79,1,2,0,1
273,807,France,42,7,118274.71,1,1,1,25885.72,0,3,0,1
274,799,France,22,8,174185.98,2,0,1,192633.85,0,1,1,0
275,675,France,40,7,113208.86,2,1,0,34577.36,0,2,0,1
276,602,Spain,29,5,103907.28,1,1,0,161229.84,0,1,0,1
277,475,France,32,8,119023.28,1,1,0,100816.29,0,2,1,0
278,744,Spain,26,5,166297.89,1,1,1,181694.44,0,1,1,0
279,588,Spain,34,10,0.0,2,1,0,79078.91,0,2,0,1
280,703,Germany,42,9,63227.0,1,0,1,137316.32,0,3,0,1
281,747,Spain,41,5,94521.17,2,1,0,194926.86,0,3,1,0
282,583,France,27,7,0.0,2,1,0,51285.49,0,1,0,1
283,750,Spain,34,9,112822.26,1,0,0,150401.53,1,2,1,0
284,681,France,38,3,0.0,2,1,1,112491.96,0,2,0,1
285,773,France,25,2,135903.33,1,1,0,73656.38,0,1,0,1
286,714,France,31,4,125169.26,1,1,1,106636.89,0,2,1,0
287,687,Spain,44,7,0.0,3,1,0,155853.52,1,3,1,0
288,511,France,58,0,149117.31,1,1,1,162599.51,0,4,0,1
289,627,France,33,5,0.0,2,1,1,103737.82,0,2,0,1
290,694,France,31,10,0.0,2,1,0,160990.27,0,2,1,0
291,616,Spain,36,6,132311.71,1,0,0,15462.84,0,2,1,0
292,687,France,35,8,0.0,2,1,0,10334.05,0,2,0,1
293,712,France,33,6,0.0,2,1,1,190686.16,0,2,1,0
294,553,France,33,4,118082.89,1,0,0,94440.45,0,2,0,1
295,667,France,31,1,119266.69,1,1,1,28257.63,0,2,0,1
296,731,France,43,2,0.0,1,1,1,170034.95,1,3,0,1
297,629,Germany,35,7,156847.29,2,1,0,31824.29,0,2,0,1
298,614,France,50,4,137104.47,1,1,0,127166.49,1,3,0,1
299,438,Germany,31,8,78398.69,1,1,0,44937.01,0,2,0,1
300,729,Germany,30,6,63669.42,1,1,0,145111.37,0,1,0,1
301,642,France,38,3,0.0,2,0,0,171463.83,0,2,0,1
302,806,Germany,59,0,135296.33,1,1,0,182822.5,0,4,1,0
303,744,Spain,36,2,153804.44,1,1,1,87213.33,0,2,0,1
304,474,Spain,37,3,0.0,2,0,0,57175.32,0,2,0,1
305,559,France,49,2,147069.78,1,1,0,120540.83,1,3,0,1
306,706,Spain,42,9,0.0,2,1,1,28714.34,0,3,0,1
307,628,Spain,22,3,0.0,1,1,0,85426.28,0,1,1,0
308,429,France,24,4,95741.75,1,1,0,46170.75,0,1,0,1
309,525,Spain,57,2,145965.33,1,1,1,64448.36,0,4,1,0
310,680,France,30,8,141441.75,1,1,1,16278.97,0,1,1,0
311,749,France,40,1,139290.41,1,1,0,182855.42,1,2,0,1
312,763,France,31,4,0.0,2,0,0,50404.72,0,2,1,0
313,734,France,30,3,0.0,2,1,0,107640.25,0,1,0,1
314,716,France,35,4,144428.87,1,1,0,134132.65,0,2,0,1
315,594,France,35,2,0.0,2,1,0,103480.69,0,2,0,1
316,644,France,46,9,95441.27,1,1,0,108761.05,1,3,1,0
317,671,Germany,35,1,144848.74,1,1,1,179012.3,0,2,0,1
318,664,Germany,26,7,116244.14,2,1,1,95145.14,0,1,0,1
319,656,France,50,7,0.0,2,0,1,72143.44,0,3,0,1
320,667,Spain,40,1,146502.07,1,1,0,19162.89,0,2,1,0
321,663,Germany,44,2,117028.6,2,0,1,144680.18,0,3,0,1
322,584,Germany,30,8,112013.81,1,1,0,177772.03,1,1,1,0
323,626,Spain,37,6,108269.37,1,1,0,5597.94,0,2,1,0
324,485,France,29,7,182123.79,1,1,0,116828.51,1,1,0,1
325,659,Germany,32,3,150923.74,2,0,1,174652.51,0,2,1,0
326,649,France,33,2,0.0,2,1,0,2010.98,0,2,0,1
327,805,Spain,39,5,165272.13,1,1,0,14109.85,1,2,1,0
328,716,Germany,39,10,115301.31,1,1,0,43527.4,1,2,1,0
329,642,Germany,40,6,129502.49,2,0,1,86099.23,1,2,1,0
330,659,France,31,4,118342.26,1,0,0,161574.19,0,2,0,1
331,545,Spain,47,5,0.0,2,1,1,38970.14,0,3,1,0
332,543,France,22,8,0.0,2,0,0,127587.22,0,1,0,1
333,718,France,25,7,0.0,2,1,0,30380.12,0,1,1,0
334,840,France,43,7,0.0,2,1,0,90908.95,0,3,1,0
335,630,Germany,34,9,106937.05,2,1,0,138275.01,0,2,1,0
336,643,Germany,59,3,170331.37,1,1,1,32171.79,0,4,0,1
337,654,Germany,32,1,114510.85,1,1,1,126143.23,0,2,1,0
338,582,France,39,5,0.0,2,1,1,129892.93,0,2,0,1
339,659,Spain,32,3,107594.11,2,1,1,102416.84,0,2,0,1
340,762,Spain,39,2,81273.13,1,1,1,18719.67,0,2,0,1
341,568,Spain,32,7,169399.6,1,1,0,61936.22,0,2,1,0
342,670,Spain,25,6,0.0,2,1,1,78358.94,0,1,0,1
343,613,France,45,1,187841.99,2,1,1,147224.27,0,3,1,0
344,539,France,30,0,0.0,2,1,0,160979.66,0,1,0,1
345,850,Spain,57,8,126776.3,2,1,1,132298.49,0,4,1,0
346,522,Spain,34,9,126436.29,1,1,0,174248.52,1,2,0,1
347,737,France,41,1,101960.74,1,1,1,123547.28,0,3,0,1
348,520,France,58,3,0.0,2,0,1,32790.02,0,4,0,1
349,706,Spain,28,3,0.0,2,0,1,181543.67,0,1,0,1
350,643,Germany,45,2,150842.93,1,0,1,2319.96,1,3,1,0
351,648,France,50,9,102535.57,1,1,1,189543.19,0,3,1,0
352,443,Germany,29,9,99027.61,2,1,0,10940.4,0,1,1,0
353,628,Spain,33,3,0.0,1,1,1,188193.25,0,2,1,0
354,540,Germany,42,9,87271.41,2,1,0,172572.64,0,3,1,0
355,460,Germany,35,8,102742.91,2,1,1,189339.6,0,2,1,0
356,636,Germany,34,2,40105.51,2,0,1,53512.16,0,2,0,1
357,593,France,29,2,152265.43,1,1,0,34004.44,0,1,1,0
358,801,Spain,42,4,141947.67,1,1,1,10598.29,0,3,0,1
359,611,Germany,31,0,107884.81,2,1,1,183487.98,0,2,0,1
360,802,Germany,31,1,125013.72,1,1,1,187658.09,0,2,0,1
361,717,Germany,35,7,58469.37,2,1,1,172459.39,0,2,0,1
362,769,France,39,8,0.0,1,0,1,21016.0,0,2,1,0
363,745,Germany,45,10,117231.63,3,1,1,122381.02,1,3,0,1
364,572,Spain,35,4,152390.26,1,1,0,128123.66,0,2,0,1
365,629,Spain,30,2,34013.63,1,1,0,19570.63,0,1,1,0
366,687,Spain,39,2,0.0,3,0,0,188150.6,1,2,1,0
367,483,France,50,9,0.0,2,1,1,111020.24,0,3,1,0
368,690,France,36,7,101583.11,2,1,0,123775.15,0,2,0,1
369,492,Germany,30,10,77168.87,2,0,1,146700.22,0,1,1,0
370,709,Germany,28,8,124695.72,2,1,0,145251.35,0,1,0,1
371,705,Germany,44,3,105934.96,1,1,0,82463.69,0,3,0,1
372,611,Spain,46,6,0.0,2,1,0,45886.33,0,3,0,1
373,709,Spain,45,2,0.0,2,0,1,162922.65,0,3,1,0
374,544,France,21,10,161525.96,2,1,0,9262.77,0,1,1,0
375,712,Germany,29,7,147199.07,1,1,1,84932.4,0,1,1,0
376,752,Germany,38,3,183102.29,1,1,1,71557.12,0,2,0,1
377,648,Spain,46,9,127209.0,2,1,0,77405.95,1,3,0,1
378,556,Spain,38,8,0.0,2,0,0,417.41,1,2,0,1
379,594,Spain,24,0,97378.54,1,1,1,71405.17,0,1,1,0
380,645,Germany,37,2,136925.09,2,0,1,153400.24,0,2,1,0
381,557,France,33,3,54503.55,1,1,1,371.05,0,2,0,1
382,547,Germany,32,8,155726.85,1,1,0,67789.99,0,2,0,1
383,701,France,39,9,0.0,2,0,1,145894.9,0,2,1,0
384,605,France,52,1,63349.75,1,1,0,108887.44,0,4,0,1
385,593,Germany,38,4,129499.42,1,1,1,154071.27,0,2,1,0
386,751,Spain,52,8,0.0,2,0,1,179291.85,0,4,0,1
387,443,Spain,36,6,70438.01,2,0,1,56937.43,0,2,0,1
388,685,France,23,8,0.0,2,1,1,112239.03,0,1,0,1
389,718,France,36,9,0.0,1,1,0,45909.87,0,2,0,1
390,538,Spain,49,9,141434.04,1,0,0,173779.25,1,3,1,0
391,611,Spain,37,4,0.0,2,1,0,125696.26,0,2,1,0
392,668,Germany,37,10,152958.29,2,1,1,159585.61,0,2,0,1
393,537,Germany,41,3,138306.34,1,1,0,106761.47,0,3,1,0
394,709,Spain,23,10,0.0,2,0,0,129590.18,0,1,0,1
395,850,France,38,1,0.0,2,1,1,80006.65,0,2,0,1
396,745,Spain,31,3,124328.84,1,1,1,140451.52,0,2,1,0
397,693,Germany,41,9,181461.48,3,1,1,187929.43,1,3,1,0
